sample,temp,scan,timestamp,A,A_err,T2,T2_err,beta,beta_err,dropped,elapsed_min,alpha
DAP,40C,64,2020-07-28 19:37:02,22.08915816743422,393.9808904142935,2.3040840844720054e-08,2.5518485896631546e-06,0.139978772695391,0.882872823233656,True,61.166666666666664,
DAP,40C,65,2020-07-28 19:39:06,345.22721656941684,6.304192650419781e-06,4.424079983600091e-08,5.683280437280173e-08,0.20732264342962117,0.03398634854984866,False,63.233333333333334,0.999997204484797
DAP,40C,66,2020-07-28 19:41:08,0.030825114488559686,0.024907469710591216,0.05834723669430025,0.034706655136844705,4.44443320927883,16.439199901566898,True,65.26666666666667,
DAP,40C,67,2020-07-28 19:43:12,0.26109401423502043,0.0,1.3510169101171879e-07,0.0,4.836387912641215,0.0,True,67.33333333333333,
DAP,40C,68,2020-07-28 19:45:14,0.7486212187744097,0.0,1.844146115983331e-06,0.0,4.940092528006595,0.0,True,69.36666666666666,
DAP,40C,69,2020-07-28 19:47:18,9.027711203809409,8.157051566122039,7.18595401578128e-05,0.00010785427546758738,0.6182918903402252,0.3873348447830636,False,71.43333333333334,0.9954592946389221
DAP,40C,70,2020-07-28 19:49:20,0.5847664996907362,0.0,1.4979566328894076e-05,234752.20675160055,3.089265191301827,0.0,True,73.46666666666667,
DAP,40C,71,2020-07-28 19:51:24,0.2812721580547276,0.0,1.235729284066236e-06,0.0,4.612501325379327,0.0,True,75.53333333333333,
DAP,40C,72,2020-07-28 19:53:26,2.156322799710263,0.5652344375196977,0.00023776001311265953,4.872791491700054e-05,2.5972370306601262,1.9808964858840818,True,77.56666666666666,
DAP,40C,73,2020-07-28 19:55:30,0.21832758762105986,0.0,2.6366025319451e-06,0.0,4.700826334734408,0.0,True,79.63333333333334,
DAP,40C,74,2020-07-28 19:57:32,3.0179309305155435,1.4271890815314001,0.00017291235573036858,8.245522608212323e-05,1.4134396687015374,1.1043766427596051,False,81.66666666666667,0.9890739064160832
DAP,40C,75,2020-07-28 19:59:36,0.05414062961540458,0.08692559772527879,0.1678352235646785,3095597.8970837058,7.913857150117421e-08,0.49818884927934126,True,83.73333333333333,
DAP,40C,76,2020-07-28 20:01:38,0.2726354300649453,0.0,1.917229013661061e-06,0.0,4.575178305334928,0.0,True,85.76666666666667,
DAP,40C,77,2020-07-28 20:03:42,0.22065239914672052,0.0,2.8959536547889457e-06,0.0,4.59367433654926,0.0,True,87.83333333333333,
DAP,40C,78,2020-07-28 20:05:44,227.14596169280844,8.892320359092072e-06,3.9351245547126435e-08,5.4884550826408006e-08,0.19450696818053698,0.03255306011476997,False,89.86666666666666,0.9999975134489975
DAP,40C,79,2020-07-28 20:07:48,0.04460749197675098,0.036557711346489344,0.15934056443846312,9563993.171542848,2.0866798021627642e-09,0.6104037749151016,True,91.93333333333334,
DAP,40C,80,2020-07-28 20:09:50,0.19590444408809038,0.0,3.69129862685949e-09,0.0,4.935975078503025,0.0,True,93.96666666666667,
DAP,40C,81,2020-07-28 20:11:54,1.2547276055594578,0.5729010922810361,0.00014523574359586093,4.184910775065555e-05,4.999999999999998,9.957241160059809,True,96.03333333333333,
DAP,40C,82,2020-07-28 20:13:56,2.865322038148502,1.1916389114138992,0.00018465255908602915,7.353682665241744e-05,1.554266192276093,1.1817361334673844,False,98.06666666666666,0.9883320591373486
DAP,40C,83,2020-07-28 20:16:00,6.025258152792758,4.431110309922153,0.00010879370036902165,0.00011687821464483691,0.778830535207724,0.5098568149615456,False,100.13333333333334,0.9931254759294001
DAP,40C,84,2020-07-28 20:18:02,0.021635843257866848,0.027477317180465817,0.05924785492777416,19202996.811097197,4.949438217485874e-10,1.2604225512741731,True,102.16666666666667,
DAP,40C,85,2020-07-28 20:20:06,4.884421155242115,3.417652585935161,0.0001332631231343641,0.00014031557508261292,0.7727830582969033,0.5070442882112517,False,104.23333333333333,0.9915792868097779
DAP,40C,86,2020-07-28 20:22:08,0.28487963497137747,0.0,5.83913724471239e-06,0.0,4.0666445660500035,0.0,True,106.26666666666667,
DAP,40C,87,2020-07-28 20:24:12,0.05226176304694529,0.10073154899051709,2.339214940056233,30430097.270280674,4.570281660301683e-09,0.520813593053345,True,108.33333333333333,
DAP,40C,88,2020-07-28 20:26:16,3.893805402806239,1.1084139785638025,0.00015885400472469432,3.751358302810057e-05,1.9173756996809856,1.1561344746342765,False,110.4,0.9899622342517358
DAP,40C,89,2020-07-28 20:28:18,4.3619858178976845,1.0703388804760408,0.0001551226081656212,3.0271010040369173e-05,2.0682862387656575,1.1417546337304127,True,112.43333333333334,
DAP,40C,90,2020-07-28 20:30:22,0.1763582256044044,0.0,1.6309265671971777e-07,0.0,4.924478834047971,0.0,True,114.5,
DAP,40C,91,2020-07-28 20:32:24,0.6849506515959637,0.4460134695626133,0.00021606219785627525,9.132068765243235e-05,4.903003415002406,14.30907817894026,True,116.53333333333333,
DAP,40C,92,2020-07-28 20:34:28,0.03665569461883386,0.09258897558794511,1.8444955597840451,14947134.817751301,2.2664132106653015e-08,0.7253093090566186,True,118.6,
DAP,40C,93,2020-07-28 20:36:30,1.5806199370756056,1.1005511247857602,0.0001748408505097886,0.00010731459723174372,1.7662260833579808,2.4831218200467013,False,120.63333333333334,0.9889520474873384
DAP,40C,94,2020-07-28 20:38:34,0.06847112736749472,0.0,6.511097534750302e-11,0.0,4.98709772886883,0.0,True,122.7,
DAP,40C,95,2020-07-28 20:40:36,3.062237424307284,0.5832799549986303,0.00014505043873798537,1.7423253162213797e-05,4.999999998986693,4.1655153794961635,True,124.73333333333333,
DAP,40C,96,2020-07-28 20:42:40,35.25966481475892,235.0570362203537,2.352509046111633e-06,3.283294810423661e-05,0.31706670683486715,0.6226620812690922,True,126.8,
DAP,40C,97,2020-07-28 20:44:44,0.6918933870380228,0.3791449214026556,0.00029011489562822356,0.00010541436443417898,4.999999989156692,12.699145466047181,True,128.86666666666667,
DAP,40C,98,2020-07-28 20:46:46,0.07213501055473961,0.09852104457356677,2.2767467434132316,35526189.52934511,3.693888666902415e-09,0.3718682164444283,True,130.9,
DAP,40C,99,2020-07-28 20:48:50,0.0413009808272634,0.0,2.194909856654512e-06,0.0,2.5071857361887746,0.0,True,132.96666666666667,
DAP,40C,100,2020-07-28 20:50:52,5.585791998755219,3.507349647229164,0.00011617608268126335,8.926883709945471e-05,0.9967790029227158,0.6758114624365106,False,135.0,0.9926589933598053
DAP,40C,101,2020-07-28 20:55:12,6.739687240169079,1.0696388905132928,0.00010725950051881675,2.118278447501446e-05,0.959745473089813,0.1553043416759311,False,139.33333333333334,0.9932224199046816
DAP,40C,102,2020-07-28 20:59:32,11.06903473489309,5.421480396334103,3.4758378147905704e-05,2.770544684701564e-05,0.5613137087962955,0.14809060350706432,False,143.66666666666666,0.9978036659620705
DAP,40C,103,2020-07-28 21:03:52,7.772700936015165,2.0292075658656024,7.438769426257246e-05,2.874068755162541e-05,0.7166967815766445,0.14050484559640017,False,148.0,0.9952995440633979
DAP,40C,104,2020-07-28 21:08:10,4.618638245902654,0.5130473331173792,0.00014268447867212474,1.6223794739933873e-05,1.3294802786021884,0.21771157679967476,False,152.3,0.9909839643306056
DAP,40C,105,2020-07-28 21:12:30,6.119172863953914,0.9684640195007705,0.00010832409999097768,2.0079350585883084e-05,1.0425018286780816,0.17923789378487986,False,156.63333333333333,0.9931551493304471
DAP,40C,106,2020-07-28 21:16:50,4.638378983688573,0.8028581035747894,0.00012381809926198458,2.4951352827746697e-05,1.0795874654848667,0.21963672412228574,False,160.96666666666667,0.9921761048584133
DAP,40C,107,2020-07-28 21:21:10,5.46304267229424,0.6173542488771685,0.00013331696886129487,1.655952952389833e-05,1.1856351243483096,0.17467601545885839,False,165.3,0.9915758843724619
DAP,40C,108,2020-07-28 21:25:30,6.726060102874042,1.2356423487529296,9.669011207777287e-05,2.434465198080025e-05,0.8290195287433486,0.13571059975048688,False,169.63333333333333,0.9938902850016773
DAP,40C,109,2020-07-28 21:29:50,5.179390130328356,0.7952999958892032,0.00012003192259559868,2.1917413144122795e-05,1.0426313743928035,0.18102862262389344,False,173.96666666666667,0.9924153481467685
