sample,temp,scan,timestamp,A,A_err,T2,T2_err,beta,beta_err,c,c_err,dropped,elapsed_min,alpha
DAP,25C,21,2020-02-26 15:22:12,5.9769723634832745,0.22808647658469883,0.00013703775738578143,4.693266003248504e-06,1.5998996583294742,0.1047718701382736,0.36368053984516296,0.0026718477757167957,False,159.03333333333333,0.992868824499339
DAP,25C,22,2020-02-26 15:30:14,5.597829750115218,0.22275461331219254,0.0001303593359111656,4.528560419257299e-06,1.6467442852011787,0.11329279103613449,0.3626576482279244,0.0025076399479869033,False,167.06666666666666,0.9932163564241996
DAP,25C,23,2020-02-26 15:38:18,5.056827819009007,0.22202150413098531,0.0001318205639032512,4.97485670706679e-06,1.6928961061517167,0.13240044743792867,0.35868012798605514,0.002629420663228369,False,175.13333333333333,0.9931403169920254
DAP,25C,24,2020-02-26 15:46:20,5.570668947647674,0.3856247653769411,0.00011387307432631249,7.838677198965089e-06,1.3161444457278468,0.12163604772902543,0.3632207157111368,0.0026853057141364646,False,183.16666666666666,0.9940742690677963
DAP,25C,25,2020-02-26 15:54:04,5.310645645405601,0.23652201995205535,0.00012185914794447964,5.3782502226517435e-06,1.3425904876871997,0.08368494135992212,0.2511131919496555,0.0026766292922193844,False,190.9,0.9936586894960143
DAP,25C,26,2020-02-26 16:01:48,5.808132672340545,0.33160996923204616,0.00010887431806154784,6.702935959301058e-06,1.1647468396033447,0.0787948260991376,0.25481086541094244,0.0027001576898297215,False,198.63333333333333,0.9943343945170818
DAP,25C,27,2020-02-26 16:09:34,6.0151230289921145,0.37487718770967476,0.00010352027015569947,7.107587409949008e-06,1.1189389671543128,0.07834580366144957,0.26204181905806473,0.0027050873308667525,False,206.4,0.9946130086449245
DAP,25C,28,2020-02-26 16:17:18,4.876443180440599,0.22691600195337394,0.00012384773619167352,5.637684145554568e-06,1.3725147336240333,0.09173975741887525,0.25622227388262464,0.00270061020726158,False,214.13333333333333,0.9935552072728678
DAP,25C,29,2020-02-26 16:25:02,5.850299246354146,0.38564954722885286,0.00010130380586745708,7.401588496275549e-06,1.1045304797098332,0.08022973276381642,0.256711716020822,0.0026521281144788835,False,221.86666666666667,0.9947283490892803
DAP,25C,30,2020-02-26 16:32:48,5.531331914668924,0.3530481988479116,0.0001064013614119268,7.496668126042309e-06,1.1227584539072484,0.08171419227010014,0.2521468317323303,0.002679656800277572,False,229.63333333333333,0.994463082319702
DAP,25C,31,2020-02-26 16:40:32,5.50198778657961,0.3310374091450469,0.00010554671618258936,6.783647514930206e-06,1.171480420321999,0.08271824088545118,0.257660518331505,0.0025655688478025546,False,237.36666666666667,0.9945075563773448
DAP,25C,32,2020-02-26 16:48:18,5.754622571439766,0.3732811512728529,0.00010040692969777463,7.1645598111074216e-06,1.1134709216111325,0.07972991849384152,0.2544576069518554,0.002541577363033719,False,245.13333333333333,0.9947750207620396
DAP,25C,33,2020-02-26 16:56:02,5.344331333616703,0.34601731232158167,0.00010478701578080892,7.245451712802608e-06,1.1699405827881815,0.08850880182423572,0.2599879067384534,0.002644459163525597,False,252.86666666666667,0.9945470896928074
