sample,temp,scan,timestamp,A,A_err,T2,T2_err,beta,beta_err,elapsed_min
EDA,40C,50,2020-07-29 15:14:58,20.306596867340264,3.124840325475607,0.00038369387062014304,0.00013167711598642936,0.49074635504916586,0.05917989768924983,43.93333333333333
EDA,40C,51,2020-07-29 15:15:52,21.55598410276368,4.512613875489629,0.00024769659763248397,0.00011780355781368433,0.4650417449604913,0.07035956681895891,44.833333333333336
EDA,40C,52,2020-07-29 15:16:46,14.5352350224237,2.518345608618992,0.00044670855011632156,0.00014921684090998447,0.6127075799265265,0.10093891100592227,45.733333333333334
EDA,40C,53,2020-07-29 15:17:40,14.026813919434474,2.987786476570895,0.0003639327277511743,0.0001479423824044542,0.6141113926233143,0.12214721949290898,46.63333333333333
EDA,40C,54,2020-07-29 15:18:34,0.011521656608794869,0.056349486500825614,734.3827009330928,141630955.5262418,0.9999999975962705,25851.783903864478,47.53333333333333
EDA,40C,55,2020-07-29 15:19:28,13.37377747569113,5.222057007673986,0.00020298800134930899,0.00016364817085203918,0.525107274008316,0.15826980893403997,48.43333333333333
EDA,40C,56,2020-07-29 15:20:22,9.683736496443291,2.529966193998695,0.0003564928642684329,0.00015039314688133904,0.7791789494616141,0.230903075887532,49.333333333333336
EDA,40C,57,2020-07-29 15:21:16,63.46813226875191,118.42478087869364,1.00008026494676e-06,6.0904608570369715e-06,0.20436563152065793,0.11184514840901624,50.233333333333334
EDA,40C,58,2020-07-29 15:22:10,13.332232597082864,9.53579910036261,0.00010827735597002324,0.00016324723692532893,0.48108956732091007,0.22859629987764085,51.13333333333333
EDA,40C,59,2020-07-29 15:23:04,0.8230762036221942,10.988959455321043,1.1126613081380022e-05,0.0006728637823776115,0.16072699650128364,0.7409455575001029,52.03333333333333
EDA,40C,60,2020-07-29 15:24:00,8.784226568320046,2.9774792448089955,0.00023580617255634315,0.00010543373525744566,0.9999999995952804,0.4452663314048597,52.96666666666667
EDA,40C,61,2020-07-29 15:26:02,9.974081855268917,4.510700274767588,0.00011122509989686356,8.068947395664196e-05,0.6911983474050113,0.25951301971325713,55.0
EDA,40C,62,2020-07-29 15:28:06,14.980275665273384,24.688682096387634,1.8766898047839604e-05,6.87933260134911e-05,0.37240290046359137,0.2697104514829479,57.06666666666667
EDA,40C,63,2020-07-29 15:30:08,3.353067872905471,1.662016048885036,0.00020987062941550482,0.0001358692801517496,0.9999999986950721,0.6358512514738108,59.1
EDA,40C,64,2020-07-29 15:32:12,0.011375030889866607,1.6065729793659704,930.9974991986761,338664.89973188774,0.100000243266337,40.00376002081934,61.166666666666664
EDA,40C,65,2020-07-29 15:34:14,0.02147949574823488,0.0391576785344891,495.9733006902428,50119092.6489315,0.9999335315517615,13020.803067821038,63.2
EDA,40C,66,2020-07-29 15:36:18,6.019139934650759,3.1192752619090536,0.00012513748950797513,7.999085832634336e-05,0.9999999999918329,0.57604787746104,65.26666666666667
EDA,40C,67,2020-07-29 15:38:20,46.57047628699659,378.78961772023484,1.0000004574781406e-06,1.8245197705950057e-05,0.2797077866640278,0.6079333536141499,67.3
EDA,40C,68,2020-07-29 15:40:24,0.0033332047094014007,0.03862813896791895,239.55009039703774,67454554.45675257,0.9999979647111398,40031.45219195685,69.36666666666666
EDA,40C,69,2020-07-29 15:42:26,5.112987728503376,5.353405069670608,8.9516147728474e-05,0.00010977209276295649,0.9999999903812988,1.017593708386026,71.4
EDA,40C,70,2020-07-29 15:44:30,6.647391756091463,3.4337972098090725,0.00012265567980841724,8.401336399422102e-05,0.9038492130159653,0.47802916922677774,73.46666666666667
EDA,40C,71,2020-07-29 15:46:32,8.530795483806,7.248265465277153,7.816810320310172e-05,0.00010428656463223815,0.6718962706366473,0.4221165790753091,75.5
EDA,40C,72,2020-07-29 15:48:36,37.15815312600349,85.16165751201396,6.868576735513634e-06,3.2468224111199245e-05,0.35831665819927006,0.2925255630398666,77.56666666666666
EDA,40C,73,2020-07-29 15:50:38,3.261506857901732,2.7360269299539386,0.0001365600463406463,0.00014292471869110034,0.9999999962272544,0.9600891605340848,79.6
EDA,40C,74,2020-07-29 15:52:42,5.886041896170109,4.765174331865272,0.00010089860276348873,0.00010636828880746806,0.893284212301311,0.6862949297859885,81.66666666666667
EDA,40C,75,2020-07-29 15:54:44,0.010735440756227356,1.7503751843217306,178.848375312052,106588.40112735351,0.10000008216493574,39.22680328333789,83.7
EDA,40C,76,2020-07-29 15:56:48,3.7321110840368514,16.788457471550288,1.0000043609800176e-06,2.0198864604171287e-05,0.15014598148181862,0.20165425296687092,85.76666666666667
EDA,40C,77,2020-07-29 15:58:50,2.8633416255028203,1.8626958974126804,0.0001933139745215361,0.00016623467669329325,0.9728608783570196,0.7788983408973623,87.8
EDA,40C,78,2020-07-29 16:00:54,0.02384381654629164,1.573909212120138,3421.5951806480125,1347990.6486650605,0.10000287173016802,21.27124446558322,89.86666666666666
EDA,40C,79,2020-07-29 16:02:56,2.0268331080635793,2.3385566291953848,0.00015637506952409673,0.0002287736360301996,0.999999992296328,1.375739001366463,91.9
EDA,40C,80,2020-07-29 16:05:00,0.012763772615422228,0.03951385276780857,213.3532500090881,14033209.875593964,0.9998485637920446,9506.905657952679,93.96666666666667
EDA,40C,81,2020-07-29 16:07:02,4.032766968167868,4.245026541874212,0.00010319681586695347,0.00013027650896012,0.9999997905601052,1.0880194165524304,96.0
EDA,40C,82,2020-07-29 16:09:06,0.013129257760119533,0.03947004184316874,509.99535522809066,87665830.15029225,0.9999999947183545,22073.41865986368,98.06666666666666
EDA,40C,83,2020-07-29 16:11:08,3.7062712328521967,2.1952599163027298,0.0001657243381025154,0.00012526517393781608,0.9999999998807249,0.71768490040586,100.1
EDA,40C,84,2020-07-29 16:13:12,9.145133455326047,48.982351958154304,1.0000000019064577e-06,1.8035613816956352e-05,0.19824846083272094,0.31153627778006177,102.16666666666667
EDA,40C,85,2020-07-29 16:15:14,18.64372284658781,41.61047422541268,2.0135625894750273e-05,7.671742648997664e-05,0.48982003046643585,0.49253931592873657,104.2
EDA,40C,86,2020-07-29 16:17:18,35.70546147629442,88.54370028676608,5.8118478152697185e-06,3.048645201642973e-05,0.34426046268577454,0.2959758884783716,106.26666666666667
EDA,40C,87,2020-07-29 16:19:20,3.5358188708802913,1.829995713687454,0.00018467109926469,0.00012334313024975696,0.9999999999999206,0.6447485020485725,108.3
EDA,40C,88,2020-07-29 16:21:24,0.06834382625836037,0.09928703697696195,0.019143676955328957,0.04008071748590256,0.9999236688919375,2.3060839925107985,110.36666666666666
EDA,40C,89,2020-07-29 16:23:28,0.016358846354167147,0.0397705406832316,259.20835278246625,16741458.998893168,0.9999934798346835,9081.258830498975,112.43333333333334
EDA,40C,90,2020-07-29 16:25:30,4.311569024542657,12.897751009907896,5.96956552457909e-05,0.00019221016993802787,0.9999999969542548,2.3423793665067554,114.46666666666667
EDA,40C,91,2020-07-29 16:27:34,22.865752242810235,261.4772045723692,1.0002273788085567e-06,2.772907014612583e-05,0.2637817230187976,0.8308898401894461,116.53333333333333
EDA,40C,92,2020-07-29 16:29:36,3.548258587090255,1.8956888684781747,0.00018600938139253387,0.00012833703418415105,0.999999976061997,0.6667189302236033,118.56666666666666
EDA,40C,93,2020-07-29 16:31:40,1.1224309978858357e-13,0.020544920788407806,1.8039846677082392,0.0,0.10000004989752005,0.0,120.63333333333334
EDA,40C,94,2020-07-29 16:33:42,50.901442949824315,282.28133719330924,1.000000142226006e-06,1.3273427178262639e-05,0.26638942948933214,0.4050210698087608,122.66666666666667
EDA,40C,95,2020-07-29 16:35:46,0.018925643288323538,0.03883714133081213,2874.2000289528596,2304321048.533626,0.9999939583504696,84257.8368168659,124.73333333333333
EDA,40C,96,2020-07-29 16:37:50,9.251709190684418,10.277910585763765,6.093415783656139e-05,0.00010912965280974851,0.6240215032858497,0.45950850164606954,126.8
EDA,40C,97,2020-07-29 16:39:52,0.04389618603501713,0.06995517215955908,0.041259865410118474,0.09455239170866785,0.9999860114712656,2.575009670718413,128.83333333333334
EDA,40C,98,2020-07-29 16:41:56,0.01496085733436643,0.039555316363836586,111.46487286404816,2967905.932022078,0.9999654208122026,4246.965780872262,130.9
EDA,40C,99,2020-07-29 16:43:58,5.208395293929285,5.1788858946889915,9.222537579384753e-05,0.00010796241523728907,0.9999999999999232,0.9795161725513511,132.93333333333334
EDA,40C,100,2020-07-29 16:46:02,0.020402783308473074,0.04013598240472157,100.14942322876576,1752706.6811139493,0.9999949757950649,2839.9065558015823,135.0
EDA,40C,101,2020-07-29 16:50:20,5.470253327303642,0.7915995406974418,0.00012735623488138967,2.278639259188177e-05,0.9999988597702625,0.16183206507036824,139.3
EDA,40C,102,2020-07-29 16:54:40,5.624210007752104,0.9498056107150283,0.00012068790025322549,2.671431097398449e-05,0.9154162133450334,0.15890565299873935,143.63333333333333
EDA,40C,103,2020-07-29 16:59:00,6.918001181712064,1.3501550897416819,9.41090111645346e-05,2.5288732399016552e-05,0.8199466409285857,0.14029530600634255,147.96666666666667
EDA,40C,104,2020-07-29 17:03:20,6.30968695555906,0.8148968727528739,0.00011776715329987721,1.860401848897188e-05,0.9999999999999399,0.14048903085134382,152.3
EDA,40C,105,2020-07-29 17:07:38,5.8419973605426065,0.8436209484602915,0.00012452515776821871,2.3118238138523452e-05,0.9447324483967025,0.14502380633393055,156.6
EDA,40C,106,2020-07-29 17:11:58,6.159062140851075,0.9809329496108362,0.00011295214077679734,2.209159742469101e-05,0.986735127479132,0.16667576412067656,160.93333333333334
EDA,40C,107,2020-07-29 17:16:18,5.703470271438365,0.8014978713460039,0.00012532638669981454,2.1728399788209488e-05,0.9999999989783963,0.15628944152601768,165.26666666666668
EDA,40C,108,2020-07-29 17:20:38,5.474665831711199,0.8487757662087362,0.0001194216950247187,2.269132509230826e-05,0.9999999999986209,0.16950603867861117,169.6
EDA,40C,109,2020-07-29 17:24:58,7.404387093910041,1.7461555026249451,8.202843827481466e-05,2.918817444172737e-05,0.711993880570191,0.12981059079355078,173.93333333333334
