sample,temp,scan,timestamp,A,A_err,T2,T2_err,beta,beta_err,c,c_err,dropped,elapsed_min,alpha
DAB,25C,18,2020-03-01 00:49:12,18.88587848356158,0.1414812958564274,0.0008294273746573807,1.131151255107097e-05,0.671415741431185,0.005519492097610405,0.3740044170105527,0.0040676518180892554,False,134.93333333333334,0.963969829615423
DAB,25C,19,2020-03-01 00:57:14,18.68013954359117,0.18478807025281607,0.000555676636693954,1.0038364302515554e-05,0.6624724091730211,0.00686942722243087,0.3675628527571321,0.0038397122941650555,False,142.96666666666667,0.9758615105908675
DAB,25C,20,2020-03-01 01:05:24,18.81097570733316,0.2607234327628251,0.00035967584062079655,9.014743257596305e-06,0.6585057315011802,0.009087255842681854,0.3686448601936098,0.0037605108352751614,False,151.13333333333333,0.9843757485986806
DAB,25C,21,2020-03-01 01:13:28,17.606397649176873,0.3047313242023727,0.0002656411103464399,7.880014882192063e-06,0.6960610906976481,0.012025025833670327,0.3637701609640047,0.003456716661480131,False,159.2,0.988460599734987
DAB,25C,22,2020-03-01 01:21:30,16.695856745941864,0.37189175063788693,0.00019464209510057173,6.9755887980586e-06,0.7385968682450114,0.01629525310858056,0.36491316559625536,0.00321727189022099,False,167.23333333333332,0.9915447837089033
DAB,25C,23,2020-03-01 01:29:32,14.211839951728356,0.41744647638810317,0.00016647265083625463,7.095724623208469e-06,0.8362440767471382,0.025865015210650464,0.37188603282057914,0.003305412148829444,False,175.26666666666668,0.9927684591113476
DAB,25C,24,2020-03-01 01:37:36,11.765573685012752,0.38918870772592223,0.00014851421414213575,6.224768939494114e-06,0.991446708831964,0.03828263571677758,0.36686465988732064,0.0030706188152542554,False,183.33333333333334,0.9935485702503091
DAB,25C,25,2020-03-01 01:45:20,9.644879065586201,0.3271200221412917,0.00014000267096407395,5.486871523325421e-06,1.1137673957738985,0.047593649591490164,0.2624272619926209,0.0037741313018766287,False,191.06666666666666,0.9939183100977164
DAB,25C,26,2020-03-01 01:53:04,7.910957436276905,0.2563958654659001,0.00013609644377675782,4.5273940465282265e-06,1.3085946809300562,0.06064989940847192,0.2591418493980106,0.0033496876288154217,False,198.8,0.9940879958778343
DAB,25C,27,2020-03-01 02:00:50,6.595133153074772,0.22756297981153217,0.00013322025996122301,4.384197693909546e-06,1.4482339640962507,0.07752599861181027,0.25837786850797595,0.0032259277955383925,False,206.56666666666666,0.9942129367660872
DAB,25C,28,2020-03-01 02:08:34,5.782372734684852,0.2011900147536264,0.00012795686006391845,4.039001027666769e-06,1.543918346872753,0.08689343103848121,0.25580181124733614,0.002888057937967516,False,214.3,0.9944415778754796
DAB,25C,29,2020-03-01 02:16:20,5.67485575992833,0.23229949443226183,0.00012139716361467369,4.595684339916083e-06,1.480603475010086,0.09230702551991059,0.25415279858326095,0.002914302525215375,False,222.06666666666666,0.9947265298652003
DAB,25C,30,2020-03-01 02:24:04,5.436050838088074,0.23466829923795166,0.00011964255933602582,4.956094668139801e-06,1.3991284931828543,0.08692349672728857,0.2549605366225917,0.0026946370414428966,False,229.8,0.9948027495476568
DAB,25C,31,2020-03-01 02:31:48,5.317472956342631,0.26811583633330444,0.00011943076939816959,5.938442165229179e-06,1.3455682188182492,0.09431074678061695,0.2592744070142359,0.0029417899511233712,False,237.53333333333333,0.9948119496630374
DAB,25C,32,2020-03-01 02:39:34,5.434298004595926,0.2827643438051835,0.00011591627090083785,6.034350389110124e-06,1.3095161379721607,0.0913317604631975,0.2632646620191012,0.0028667194017145776,False,245.3,0.9949646188219587
DAB,25C,33,2020-03-01 02:47:20,4.988776225156601,0.21855218051841574,0.00012354388111856696,5.018374491221897e-06,1.4816038865964132,0.09967100693572817,0.2539417535241442,0.0028248150736133178,False,253.06666666666666,0.994633276857407
DAB,25C,34,2020-03-01 02:55:04,5.44835755428327,0.2921829640186621,0.00011230293068436795,6.209204243253762e-06,1.2470442369118,0.0848518764280923,0.2541550991088057,0.0026717144539368976,False,260.8,0.9951215816467155
DAB,25C,35,2020-03-01 03:02:50,5.107706602962229,0.23806045338098694,0.00011903038113118305,5.302002658956835e-06,1.4054687124966878,0.09443281076918042,0.25506384919841285,0.0027236177760811726,False,268.56666666666666,0.9948293424546432
DAB,25C,36,2020-03-01 03:10:34,5.492068411992281,0.3188927401944091,0.00010920584824280292,6.6361335295804554e-06,1.2139435964442002,0.08640581761187516,0.2556486160887097,0.0027081298967124652,False,276.3,0.9952561183300638
DAB,25C,37,2020-03-01 03:18:20,5.615942501534006,0.3589959668072038,0.0001019698196468696,7.005927506736056e-06,1.1526787773820453,0.08405420428642045,0.2545471899913738,0.0025808844182434905,False,284.06666666666666,0.9955704500620335
DAB,25C,38,2020-03-01 03:26:04,5.141293763017509,0.260969278968354,0.00011469621319640981,5.7668994430147346e-06,1.3245441424622755,0.09055889025052465,0.25374995125252336,0.0026288900734081884,False,291.8,0.9950176179009772
DAB,25C,39,2020-03-01 03:33:50,6.309431809772445,0.511032544978086,9.035905367249132e-05,8.389562561153023e-06,1.0293875560662638,0.08298321328533528,0.2551054522156364,0.0027302639892613626,False,299.56666666666666,0.9960748195694001
DAB,25C,40,2020-03-01 03:41:36,5.532378933532171,0.3839551595924431,0.00010212290671025963,7.603345647206461e-06,1.1559849286262436,0.09177973694978109,0.2595462194995963,0.0027741483890104546,False,307.3333333333333,0.9955637999885658
DAB,25C,41,2020-03-01 03:49:22,5.555844697531492,0.4002102068996594,9.944244249172512e-05,7.610127961663512e-06,1.163922930174635,0.09518770393561928,0.2570193845505327,0.0027684365375812117,False,315.1,0.9956802388540463
DAB,25C,42,2020-03-01 03:57:08,5.125713467762661,0.32995851605919185,0.00010750568495453123,7.0893262869612036e-06,1.245395595894579,0.0995794089362819,0.2541001352052815,0.0027899875302797262,False,322.8666666666667,0.9953299731060571
DAB,25C,43,2020-03-01 04:04:52,5.913398078843398,0.4461175248936117,9.396294407625011e-05,7.666566120125341e-06,1.121349469987639,0.09091945050363,0.2551524511081248,0.002699175763800321,False,330.6,0.9959182672427441
DAB,25C,44,2020-03-01 04:12:38,5.449787857592184,0.37841689183787314,0.00010081426069429836,7.5189322195903974e-06,1.1506465669959736,0.090531999409026,0.25504328613939825,0.002660917305153929,False,338.3666666666667,0.9956206473273068
DAB,25C,45,2020-03-01 04:20:24,5.828133326290642,0.45864039329226064,9.245279315844248e-05,8.010114658654209e-06,1.0910637554424307,0.08982202193474495,0.2553115583426129,0.002643809994520607,False,346.1333333333333,0.9959838679168206
DAB,25C,46,2020-03-01 04:28:10,5.525253872562326,0.4008283878381893,9.745563188563443e-05,7.466359540546525e-06,1.167588406611904,0.0954360439005669,0.2558649749147084,0.00267579665525601,False,353.9,0.9957665455360375
DAB,25C,47,2020-03-01 04:35:56,5.502318045003823,0.3932468713366763,9.648971429722323e-05,7.354640479674656e-06,1.1496395585093409,0.09108122185532622,0.2519069492505444,0.0025465169052740527,False,361.6666666666667,0.9958085048158385
DAB,25C,48,2020-03-01 04:43:42,5.852324338986871,0.5104813486362576,9.097525403120688e-05,9.002118744424605e-06,1.045155557981246,0.09194027138896414,0.25595651144693743,0.00278445110715942,False,369.43333333333334,0.9960480519408
DAB,25C,49,2020-03-01 04:51:28,4.867515054771248,0.2668155922446448,0.00011160087315565152,5.794922666577949e-06,1.4005585869002892,0.1070784331040571,0.2548417608536166,0.002716050176022607,False,377.2,0.9951520788947595
DAB,25C,50,2020-03-01 04:59:14,6.19805702184261,0.5718019820043838,8.444337846097169e-05,9.171386209210636e-06,0.9791547799451863,0.08441404002923251,0.256736965470892,0.0026330173153763952,False,384.96666666666664,0.9963317953967279
DAB,25C,51,2020-03-01 05:07:00,5.447666847583418,0.38881408813709806,9.768068313632389e-05,7.179336120274849e-06,1.2083615348665193,0.09980545468479186,0.260722722682096,0.002677632309797994,False,392.73333333333335,0.9957567693517019
DAB,25C,52,2020-03-01 05:14:46,5.356101562808613,0.38102111552995044,9.89907872642975e-05,7.199603907200624e-06,1.224146264305591,0.10246939254698668,0.25624201172233313,0.0027209922781585598,False,400.5,0.9956998586728472
DAB,25C,53,2020-03-01 05:22:32,4.801411173507508,0.25847064752077065,0.00011219865126305485,5.762317498332204e-06,1.3885027174385207,0.10374444681541903,0.25802831731621173,0.0026320867204387296,False,408.26666666666665,0.9951261115253189
DAB,25C,54,2020-03-01 05:30:18,5.705454025654033,0.4430306790558439,9.374039548123991e-05,7.904518349558516e-06,1.1146826702562742,0.09252795248231653,0.2546937875619979,0.0026578918912624223,False,416.03333333333336,0.995927934712184
DAB,25C,55,2020-03-01 05:38:04,4.839605152887756,0.2900052277337795,0.00010707881173215615,6.041362265647814e-06,1.3976495671993836,0.11422858735702339,0.25824367991621816,0.002727942229250098,False,423.8,0.9953485163991829
DAB,25C,56,2020-03-01 05:45:52,5.556777198864026,0.4306935855421806,9.366519609487128e-05,7.680542006790526e-06,1.1536353795619791,0.09789287103967903,0.2601603630515758,0.0026403862924220586,False,431.6,0.9959312013594956
DAB,25C,57,2020-03-01 05:53:38,5.631628599168558,0.4497911646898153,9.358482537662934e-05,7.977112985062587e-06,1.1401168707666927,0.09881820154454626,0.25902476006469133,0.0027306762584565314,False,439.3666666666667,0.995934692648499
DAB,25C,58,2020-03-01 06:01:24,5.261089056278194,0.3980920934368742,9.88568741280669e-05,7.850309046990274e-06,1.1814826510443308,0.10234046447343999,0.2576211150256783,0.0027554859162177035,False,447.1333333333333,0.995705675834497
DAB,25C,59,2020-03-01 06:09:10,5.538046878718411,0.4119060589331801,9.673867807704043e-05,7.62570753560576e-06,1.1600000801353296,0.09639196522898454,0.2516926391042808,0.002698165814813277,False,454.9,0.9957976898756997
DAB,25C,60,2020-03-01 06:16:58,5.281977085745151,0.401953066383885,9.929295020185627e-05,7.977810438590686e-06,1.1732231344176398,0.10189115080459694,0.25841468962111486,0.0027899515821848387,False,462.7,0.995686732771223
DAB,25C,61,2020-03-01 06:24:44,5.352874430901826,0.37128654992202637,9.63831884798204e-05,6.866812631702522e-06,1.2085042795073617,0.09634766838775777,0.25078404137657584,0.0024913495941768014,False,470.46666666666664,0.9958131322774688
DAB,25C,62,2020-03-01 06:32:30,5.460870245782928,0.4218598293881113,9.625682461001934e-05,8.1148202775035e-06,1.1144258486852778,0.09321403683860993,0.2548327545915313,0.002660136914737185,False,478.23333333333335,0.9958186215003936
