sample,temp,scan,timestamp,A,A_err,T2,T2_err,beta,beta_err,dropped,elapsed_min,alpha
DAP2,25C,114,2026-03-11 12:49:44,2471.9574338213492,485.5977302364297,0.00017061503346292177,2.9746204115814734e-05,1.7329536707464404,0.6718429362409248,False,182.3,0.9925217830795205
DAP2,25C,115,2026-03-11 12:51:24,3416.456453205675,3773.662650888299,6.26409305000546e-05,0.00011983328026515909,0.5753929341020301,0.41122517965618227,False,183.96666666666667,0.9972543892711431
DAP2,25C,116,2026-03-11 12:53:02,3133.453950382273,1319.491985334355,0.0001264195755151921,7.409612194693945e-05,0.8511965841366672,0.35473776601201645,False,185.6,0.9944589114481345
DAP2,25C,117,2026-03-11 12:54:40,3680.2733034105277,2075.819132266691,0.00010140939421556563,9.076470169475037e-05,0.6913562740896922,0.31587139602656833,False,187.23333333333332,0.9955551311491948
DAP2,25C,118,2026-03-11 12:56:18,5126.90459978205,3775.614387252318,6.3586104430562e-05,8.06617967750291e-05,0.5804813386704004,0.2787271903354624,False,188.86666666666667,0.9972129614113792
DAP2,25C,119,2026-03-11 12:57:58,3998.102854483962,1542.5829391107302,0.0001068843676762729,4.8249035819655136e-05,1.0410477878897855,0.43351349553225865,False,190.53333333333333,0.9953151579279492
DAP2,25C,120,2026-03-11 12:59:36,2279.755695921705,433.3045401298977,0.0001815797354676707,3.098104848993231e-05,1.7276776622887633,0.656228614754584,False,192.16666666666666,0.9920411899078891
DAP2,25C,121,2026-03-11 13:01:14,2963.4979019280395,869.7974799556772,0.0001325095128358277,5.0782394561341244e-05,0.935069829794703,0.29536326025739085,False,193.8,0.9941919837841914
DAP2,25C,122,2026-03-11 13:02:54,2730.8685392339908,1000.5087996024665,0.00011571706510613129,5.100636920537604e-05,1.019046437206274,0.40923344539862105,False,195.46666666666667,0.994928012516242
DAP2,25C,123,2026-03-11 13:04:32,3072.5353098478645,539.0999055736254,0.00015113884450265638,2.8500416419083364e-05,1.2538632647284464,0.31413320571387227,False,197.1,0.9933754427065355
DAP2,25C,124,2026-03-11 13:06:12,4114.446177247058,1534.213072856671,9.551554881664406e-05,5.309500529237815e-05,0.7421886872255128,0.22975163241834332,False,198.76666666666668,0.9958134639203131
DAP2,25C,125,2026-03-11 13:07:50,2367.953735361488,339.5802246150298,0.00016967507353901525,2.1637273115284603e-05,1.7244451910829113,0.4852393423647596,False,200.4,0.9925629824044854
DAP2,25C,126,2026-03-11 13:09:30,2670.1383093344857,298.7334709510605,0.00015790227191417986,1.4367930868357305e-05,1.9891939090520827,0.4861324786865064,False,202.06666666666666,0.9930789953403057
DAP2,25C,127,2026-03-11 13:11:08,2397.3753992086704,377.9158572531794,0.0001561597337968483,2.186796931300263e-05,1.687693913618566,0.5004457944446902,False,203.7,0.9931553724201511
DAP2,25C,128,2026-03-11 13:12:48,2719.2696676391574,692.2042093064304,0.00014866437481277176,4.618339764120273e-05,1.045806139001012,0.3243736821122431,False,205.36666666666667,0.9934839010336156
DAP2,25C,129,2026-03-11 13:14:26,3015.4676641827546,832.6412342145218,0.0001399501867258938,5.471677169992009e-05,0.8451219644928326,0.2365594609669997,False,207.0,0.9938658520696813
DAP2,25C,130,2026-03-11 13:16:06,3192.3710786501033,949.1547824351893,0.00012769265173610188,5.248231109530944e-05,0.8604646207654317,0.2559439483586665,False,208.66666666666666,0.9944031113234735
DAP2,25C,131,2026-03-11 13:17:44,1935.5134252250477,404.5802359452672,0.0001328867964249499,2.2158700249330028e-05,1.9260812141498327,0.8106821985573672,False,210.3,0.9941754470906613
DAP2,25C,132,2026-03-11 13:19:24,2300.087959380378,458.19997039825,0.00014391935592942157,2.5960608876904356e-05,1.6002236599552457,0.5567237811904933,False,211.96666666666667,0.99369187966118
DAP2,25C,133,2026-03-11 13:21:04,2139.926136658629,253.04532123162426,0.00018697645977529685,1.8510574595469648e-05,1.9947574854541401,0.5367536396861375,False,213.63333333333333,0.9918046464204056
DAP2,25C,134,2026-03-11 13:22:42,2685.726431487315,744.4035971044235,0.0001368540886661543,4.4706926848793944e-05,1.0816849249714509,0.36566251308710784,False,215.26666666666668,0.994001556951179
DAP2,25C,135,2026-03-11 13:24:22,2429.505523693674,492.97299247056606,0.0001615236324518801,3.4865417223764034e-05,1.2885110163178712,0.3903082782737675,False,216.93333333333334,0.9929202677118047
DAP2,25C,136,2026-03-11 13:26:00,2378.617894976933,423.94460106425043,0.0001647523575249911,2.9136221850733924e-05,1.4343549264540345,0.42215863768858874,False,218.56666666666666,0.9927787496639326
DAP2,25C,137,2026-03-11 13:27:40,2481.265518555399,210.14846392569657,0.00015444440789062487,9.205339168862969e-06,2.893081852316763,0.7254797285628878,True,220.23333333333332,
DAP2,25C,138,2026-03-11 13:29:18,1977.6325332432161,243.01394233252847,0.00017858600738190604,1.724368110540252e-05,2.2669463169140354,0.6985317923313151,True,221.86666666666667,
DAP2,25C,139,2026-03-11 13:30:58,3340.865436470064,1176.7840184524098,0.00011471864954610552,5.9120923621864215e-05,0.7840034511085475,0.2508403640929252,False,223.53333333333333,0.994971774006558
DAP2,25C,140,2026-03-11 13:32:36,3135.323065575109,978.9032365412316,0.000123421649661786,4.988559543749707e-05,0.9344673400229576,0.3067302436574482,False,225.16666666666666,0.9945903133497621
DAP2,25C,141,2026-03-11 13:34:16,2433.42583805134,542.7271536789482,0.00015036701923956466,3.7300371516407494e-05,1.193044753608552,0.36336716481820797,False,226.83333333333334,0.9934092725316392
DAP2,25C,142,2026-03-11 13:35:54,4186.514703404917,1589.8416975834027,9.110030958779605e-05,4.8087213312222895e-05,0.8051189034944953,0.2621269859092763,False,228.46666666666667,0.9960069879963512
DAP2,25C,143,2026-03-11 13:37:34,2390.050440449153,330.08979795399085,0.00017233695911814237,2.1370101457632847e-05,1.703019513527842,0.45825635732162784,False,230.13333333333333,0.99244630946322
DAP2,25C,144,2026-03-11 13:39:12,2029.1277320727675,203.10640897244352,0.00015533891689715866,1.0620068301956904e-05,3.2690582463336058,1.0633096008582685,True,231.76666666666668,
DAP2,25C,145,2026-03-11 13:40:52,1907.1409372690505,311.81530777605764,0.0001871499793471575,2.849201395783299e-05,1.63348079855011,0.5117299464479926,False,233.43333333333334,0.9917970408948432
DAP2,25C,146,2026-03-11 13:42:30,2153.025320279693,559.5375057977747,0.00016058335549283705,4.7710999669219564e-05,1.1608813948802539,0.4106735756597389,False,235.06666666666666,0.992961480932717
DAP2,25C,147,2026-03-11 13:44:10,2277.143634426543,498.30962659570366,0.00019300932406668563,5.206911185369653e-05,1.0732566944429494,0.31391659436222114,False,236.73333333333332,0.9915402203208578
DAP2,25C,148,2026-03-11 13:45:48,2251.673481364755,380.81716508700674,0.00017597619622436117,2.818210107629452e-05,1.5659028531535548,0.48154817161029023,False,238.36666666666667,0.9922867982879561
DAP2,25C,149,2026-03-11 13:47:28,2261.3148238538715,586.1647868444816,0.0001549036903396837,4.524644992326294e-05,1.177490106753633,0.4160169339117026,False,240.03333333333333,0.9932104259828036
DAP2,25C,150,2026-03-11 13:49:08,2162.6413473985986,437.0894409767133,0.00016695948550739378,3.4449328599473696e-05,1.3777622315699765,0.44534918851903776,False,241.7,0.992682009174606
DAP2,25C,151,2026-03-11 13:50:46,2051.510057913309,413.9643570834539,0.0001999015513870885,4.5243155152207685e-05,1.2364156770147166,0.3800407152005799,False,243.33333333333334,0.9912381275338324
DAP2,25C,152,2026-03-11 13:52:26,2427.0958264296733,558.9786114692045,0.00015498526448418524,4.012467026050351e-05,1.1816419448614826,0.37210907206523464,False,245.0,0.9932068505115494
DAP2,25C,153,2026-03-11 13:54:04,11293.929758753655,14233.176104739934,1.013438607460469e-05,2.749952857890931e-05,0.35962110661460284,0.17565189894048924,True,246.63333333333333,
DAP2,25C,154,2026-03-11 13:55:44,2340.0093813711514,406.5753728545517,0.00015649139043082084,2.5025036802613828e-05,1.59366639671298,0.49494976064792445,False,248.3,0.9931408355988545
