sample,temp,scan,timestamp,n_avg,A,A_err,T2,T2_err,beta,beta_err,dropped,elapsed_min,alpha
DAP2,33C,15,2026-03-12 09:22:02,1,16528.675745602555,117.05836725420558,0.014422311430343763,0.0001844186163608477,0.7182819357413983,0.006150113496298518,False,28.733333333333334,0.5068700510690327
DAP2,33C,16,2026-03-12 09:24:52,1,16431.174523160218,129.44733963245918,0.012137309011645489,0.00017330894677027126,0.7139014309304623,0.006749467664982289,False,31.566666666666666,0.5849992144477325
DAP2,33C,17,2026-03-12 09:26:54,1,16433.749150068306,142.07074751503743,0.010527863912212061,0.00016801089994427355,0.6947597903184971,0.007036298811620757,False,33.6,0.6400296153320854
DAP2,33C,18,2026-03-12 09:29:44,1,16349.778698022277,167.55990771741054,0.008087107002832676,0.0001575817423530227,0.664700692109965,0.00766967757223589,False,36.43333333333333,0.7234843608413821
DAP2,33C,19,2026-03-12 09:31:46,1,16089.422285348084,178.88439161231395,0.007077390902453208,0.00015170320517333242,0.6508785469092208,0.007993296283946962,False,38.46666666666667,0.7580087331252383
DAP2,33C,20,2026-03-12 09:34:36,1,15951.468833793817,225.28427222621798,0.005217601105115328,0.00014822108104455304,0.6103327397467112,0.008981172807031307,False,41.3,0.8215989594362578
DAP2,33C,21,2026-03-12 09:44:32,9,14943.152265755476,99.383705774927,0.002135976825260627,3.186207121263908e-05,0.5137926311704796,0.003025082382894791,False,51.233333333333334,0.9269663432352191
DAP2,33C,30,2026-03-12 10:07:22,11,16999.390196342134,755.1116274732913,0.00010151641735466749,1.1823614596879073e-05,0.3564659755230792,0.008747540924799008,False,74.06666666666666,0.9965289346338454
DAP2,33C,41,2026-03-12 10:32:32,9,7030.090128143126,1233.1556988300695,6.596699818143586e-05,1.9637987591974432e-05,0.5943404583555442,0.06934723084077642,False,99.23333333333333,0.9977444459855513
DAP2,33C,50,2026-03-12 10:54:24,11,2571.374735991073,271.1512425558846,0.00014226377283790565,1.6280733323004358e-05,1.2223876753980945,0.1764663046604777,False,121.1,0.995135694623354
DAP2,33C,61,2026-03-12 11:10:52,9,2256.131438591435,188.44852906067007,0.0001559092145631639,1.3258003805579498e-05,1.3646639361482484,0.1770884319412965,False,137.56666666666666,0.9946691275260052
DAP2,33C,70,2026-03-12 11:25:44,9,2098.8179177871084,185.11076634264225,0.00016385435474855744,1.4695772996964175e-05,1.3807359941861945,0.1940761992850265,False,152.43333333333334,0.9943974660386774
DAP2,33C,79,2026-03-12 11:40:36,9,2090.329040550343,163.86113299157398,0.00016301432098787922,1.2873319983307687e-05,1.398812223146572,0.1765194839878254,False,167.3,0.9944261886056185
DAP2,33C,88,2026-03-12 11:55:26,9,1878.3946927035101,200.58447168810548,0.00016187448223365408,1.8888177706455785e-05,1.2399875800265698,0.1912640578829338,False,182.13333333333333,0.9944651621522219
DAP2,33C,97,2026-03-12 12:10:18,9,2187.495450455461,183.06277671528676,0.000154644844672245,1.2644113051490805e-05,1.4485821238490104,0.1981270066235122,False,197.0,0.9947123590608913
DAP2,33C,106,2026-03-12 12:25:10,9,2286.037836257235,179.3324247425694,0.00015443716665166537,1.1408142056556774e-05,1.532262100639439,0.20653731763571256,False,211.86666666666667,0.9947194600205521
DAP2,33C,115,2026-03-12 12:40:02,9,2085.9682968952056,126.45697645266128,0.00017121581309394594,9.116162299686406e-06,1.7672347652036935,0.2153127441320964,False,226.73333333333332,0.9941457618929548
DAP2,33C,124,2026-03-12 12:54:52,9,1977.341927603069,129.0694367873589,0.00016211597361624698,8.89937843365689e-06,1.8814804045302942,0.25721436906743006,False,241.56666666666666,0.9944569050407499
DAP2,33C,133,2026-03-12 13:09:44,9,2041.376854497926,138.11925508870806,0.00015920588653441336,9.310259687889757e-06,1.7791916597095372,0.23874944250115926,False,256.43333333333334,0.9945564071975976
DAP2,33C,142,2026-03-12 13:24:36,9,1365.2527297313009,117.10699348432935,0.0001655187922288451,1.2223195241515542e-05,1.8135933256666834,0.317120775917934,False,271.3,0.9943405553296265
DAP2,33C,151,2026-03-12 13:39:28,9,2066.0362993107474,194.2787605453523,0.00015279248938746315,1.4770668519328514e-05,1.3398091376749093,0.19134198046805367,False,286.1666666666667,0.9947756950851755
DAP2,33C,160,2026-03-12 13:54:20,9,1841.0839975356214,132.9635586392848,0.00016131621633224682,1.000613297721899e-05,1.8067919876642131,0.2633183741483868,False,301.03333333333336,0.9944842504680429
DAP2,33C,169,2026-03-12 14:09:12,9,1815.2263468262195,134.02105057045486,0.00016207692959444627,1.043316805712752e-05,1.7616144135352392,0.25694237545092113,False,315.9,0.9944582400401062
DAP2,33C,178,2026-03-12 14:24:04,9,2313.713177439966,161.57452812373188,0.00015720712355736413,1.006370543048086e-05,1.6058040471043638,0.20209840156422712,False,330.76666666666665,0.9946247492168057
DAP2,33C,187,2026-03-12 14:43:52,14,2031.7085018110865,128.38341674730484,0.00016626167988802455,9.762695423198442e-06,1.5929912793057268,0.18304653940873997,False,350.56666666666666,0.9943151543975219
